"contract_id","segment_id","plan_id","contract_year","language_id","plan_cvrg_typ_id","mnthly_prm","ann_ddctbl","icl_lmt","thrshld","copay_amt_inn_prefrd","copay_amt_inn_prefrd_lvl","coins_amt_inn_prefrd","coins_amt_inn_prefrd_lvl","copay_amt_inn_general","copay_amt_inn_general_lvl","coins_amt_inn_general","coins_amt_inn_general_lvl","copay_amt_mail_ordr_prefrd","copay_amt_mail_ordr_prefrd_lvl","coins_amt_mail_ordr_prefrd","coins_amt_mail_ordr_prefrd_lvl","copay_amt_mail_ordr_general","copay_amt_mail_ordr_general_lvl","coins_amt_mail_ordr_general","coins_amt_mail_ordr_general_lvl","is_mdcr_dfnd_std_yn","post_thrshld_mdcr_std_cost"
"H3916","0","804","2019","1","0","33.00",".00",".00",".00","","0","","0","","0","","0","","0","","0","","0","","0","N","0"
"H3916","0","805","2019","1","0",".00",".00",".00",".00","","0","","0","","0","","0","","0","","0","","0","","0"," ","0"
"H3916","0","806","2019","1","0","33.00",".00",".00",".00","","0","","0","","0","","0","","0","","0","","0","","0","N","0"
"H3916","0","807","2019","1","0","33.00",".00",".00",".00","","0","","0","","0","","0","","0","","0","","0","","0","N","0"
"H3917","0","001","2019","1","0","137.00",".00",".00","5100.00","","0","","0","","0","","0","","0","","0","","0","","0","N","0"
"H3917","0","002","2019","1","0","454.00",".00",".00","5100.00","","0","","0","","0","","0","","0","","0","","0","","0","N","0"
"H3918","0","001","2019","1","0","157.00",".00",".00","5100.00","","0","","0","","0","","0","","0","","0","","0","","0","N","0"
"H3918","0","002","2019","1","0","575.00",".00",".00","5100.00","","0","","0","","0","","0","","0","","0","","0","","0","N","0"
"H3919","0","001","2019","1","0","199.00",".00",".00","5100.00","","0","","0","","0","","0","","0","","0","","0","","0","N","0"
"H3919","0","002","2019","1","0","729.00",".00",".00","5100.00","","0","","0","","0","","0","","0","","0","","0","","0","N","0"
"H3923","0","013","2019","1","4","33.00",".00","3820.00","5100.00","$3 - $95","1","33%","1","Information Not Available","1","Information Not Available","1","$3 - $95","1","33%","1","Information Not Available","1","Information Not Available","1","N","1"
"H3923","0","017","2019","1","4","77.00",".00","3820.00","5100.00","$3 - $95","1","33%","1","Information Not Available","1","Information Not Available","1","$3 - $95","1","33%","1","Information Not Available","1","Information Not Available","1","N","1"
"H3923","0","801","2019","1","0","33.00",".00",".00",".00","","0","","0","","0","","0","","0","","0","","0","","0","N","0"
"H3923","0","802","2019","1","0",".00",".00",".00",".00","","0","","0","","0","","0","","0","","0","","0","","0"," ","0"
"H3923","0","803","2019","1","0","33.00",".00",".00",".00","","0","","0","","0","","0","","0","","0","","0","","0","N","0"
"H3924","10","059","2019","1","4","58.00",".00","3820.00","5100.00","Information Not Available","1","Information Not Available","1","$3 - $100","1","33%","1","Information Not Available","1","Information Not Available","1","Information Not Available","1","Information Not Available","1","N","1"
"H3924","11","059","2019","1","4","58.00",".00","3820.00","5100.00","Information Not Available","1","Information Not Available","1","$3 - $100","1","33%","1","Information Not Available","1","Information Not Available","1","Information Not Available","1","Information Not Available","1","N","1"
"H3924","12","059","2019","1","4","58.00",".00","3820.00","5100.00","Information Not Available","1","Information Not Available","1","$3 - $100","1","33%","1","Information Not Available","1","Information Not Available","1","Information Not Available","1","Information Not Available","1","N","1"
"H3924","13","059","2019","1","4","58.00",".00","3820.00","5100.00","Information Not Available","1","Information Not Available","1","$3 - $100","1","33%","1","Information Not Available","1","Information Not Available","1","Information Not Available","1","Information Not Available","1","N","1"
"H3924","14","059","2019","1","4","58.00",".00","3820.00","5100.00","Information Not Available","1","Information Not Available","1","$3 - $100","1","33%","1","Information Not Available","1","Information Not Available","1","Information Not Available","1","Information Not Available","1","N","1"
"H3924","15","059","2019","1","4","58.00",".00","3820.00","5100.00","Information Not Available","1","Information Not Available","1","$3 - $100","1","33%","1","Information Not Available","1","Information Not Available","1","Information Not Available","1","Information Not Available","1","N","1"
"H3924","16","059","2019","1","4","58.00",".00","3820.00","5100.00","Information Not Available","1","Information Not Available","1","$3 - $100","1","33%","1","Information Not Available","1","Information Not Available","1","Information Not Available","1","Information Not Available","1","N","1"
"H3924","17","059","2019","1","4","58.00",".00","3820.00","5100.00","Information Not Available","1","Information Not Available","1","$3 - $100","1","33%","1","Information Not Available","1","Information Not Available","1","Information Not Available","1","Information Not Available","1","N","1"
"H3924","18","059","2019","1","4","58.00",".00","3820.00","5100.00","Information Not Available","1","Information Not Available","1","$3 - $100","1","33%","1","Information Not Available","1","Information Not Available","1","Information Not Available","1","Information Not Available","1","N","1"
"H3924","10","060","2019","1","4",".00",".00","3820.00","5100.00","Information Not Available","1","Information Not Available","1","$3 - $100","1","33%","1","Information Not Available","1","Information Not Available","1","Information Not Available","1","Information Not Available","1","N","1"
"H3924","11","060","2019","1","4",".00",".00","3820.00","5100.00","Information Not Available","1","Information Not Available","1","$3 - $100","1","33%","1","Information Not Available","1","Information Not Available","1","Information Not Available","1","Information Not Available","1","N","1"
